id,주제,theme,한국어,English,Espanol,中文
1,시작과 첫걸음,Beginnings,완벽한 때를 기다리면 영원히 시작하지 못한다.,"If you wait for the perfect moment, you will never begin.","Si esperas el momento perfecto, nunca empezarás.",等待完美的时机，你将永远无法开始。
2,시작과 첫걸음,Beginnings,오늘의 작은 시작이 내일의 큰 차이를 만든다.,A small start today makes a big difference tomorrow.,Un pequeño comienzo hoy marca una gran diferencia mañana.,今天小小的开始，造就明天巨大的不同。
3,시작과 첫걸음,Beginnings,첫걸음은 언제나 가장 무겁고 가장 중요하다.,The first step is always the heaviest and the most important.,El primer paso siempre es el más pesado y el más importante.,第一步永远最沉重，也最重要。
4,시작과 첫걸음,Beginnings,"준비가 끝나서 시작하는 게 아니라, 시작해야 준비가 된다.",You do not start because you are ready; you become ready by starting.,No empiezas porque estás listo; te vuelves listo al empezar.,不是准备好了才开始，而是开始了才会准备好。
5,시작과 첫걸음,Beginnings,늦었다고 느끼는 지금이 남은 생에서 가장 이른 순간이다.,The moment you feel it is too late is the earliest moment you have left.,El momento en que crees que es tarde es el más temprano que te queda.,你觉得为时已晚的此刻，是余生中最早的时刻。
6,시작과 첫걸음,Beginnings,시작하지 않은 일은 실패조차 할 수 없다.,What you never begin can never even fail.,Lo que nunca empiezas ni siquiera puede fracasar.,从未开始的事，连失败的机会都没有。
7,시작과 첫걸음,Beginnings,큰 문은 작은 열쇠로 열린다.,Big doors open with small keys.,Las puertas grandes se abren con llaves pequeñas.,大门往往由小钥匙打开。
8,시작과 첫걸음,Beginnings,오늘 심지 않은 씨앗은 내일 자라지 않는다.,A seed not planted today will not grow tomorrow.,La semilla que no siembras hoy no crecerá mañana.,今天不播下的种子，明天不会发芽。
9,시작과 첫걸음,Beginnings,시작은 용기의 다른 이름이다.,Beginning is another name for courage.,Empezar es otro nombre para el valor.,开始，是勇气的另一个名字。
10,시작과 첫걸음,Beginnings,지도를 보는 사람보다 한 걸음 걷는 사람이 멀리 간다.,The one who takes a step goes farther than the one who studies the map.,Quien da un paso llega más lejos que quien estudia el mapa.,迈出一步的人，比研究地图的人走得更远。
11,시작과 첫걸음,Beginnings,하루를 여는 방식이 인생을 여는 방식이 된다.,How you open a day becomes how you open a life.,Cómo abres el día se convierte en cómo abres la vida.,你如何开启一天，就如何开启一生。
12,시작과 첫걸음,Beginnings,시작을 미루는 습관이 가장 비싼 비용이다.,The habit of postponing the start is the most expensive cost.,El hábito de aplazar el comienzo es el costo más caro.,拖延开始，是最昂贵的代价。
13,시작과 첫걸음,Beginnings,아무것도 하지 않으면 아무 일도 일어나지 않는다.,"If you do nothing, nothing happens.","Si no haces nada, nada sucede.",什么都不做，就什么都不会发生。
